lower guild,upper guild,lower taxon,upper taxon,estimated interaction strength,direct interaction
plant,flower visitor,Ajuga reptans,Rhingia campestris,1.492E+02,1
plant,flower visitor,Alliaria petiolata,Simulium sp,4.971E+01,1
plant,flower visitor,Anthriscus sylvestris,Agriotes pallidulus,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Anaspis maculata,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Anthocomus fasciatus,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Bicellaria vana,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Botanophila striolata,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Bracon sp,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Cantharis lateralis,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Chlorops hypostigma,4.523E+02,1
plant,flower visitor,Anthriscus sylvestris,Chlorops pumilionis,1.899E+01,1
plant,flower visitor,Anthriscus sylvestris,Dacnusa (maculipes),1.899E+01,1
plant,flower visitor,Anthriscus sylvestris,Delia sp,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Dicraeus tibialis,1.899E+01,1
plant,flower visitor,Anthriscus sylvestris,Dolichopus ungulatus,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Empis (Xanthempis) sp,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Empis caudatula,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Empis livida,7.878E+01,1
plant,flower visitor,Anthriscus sylvestris,Empis nigripes,1.182E+02,1
plant,flower visitor,Anthriscus sylvestris,Endasys sp,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Episyrphus balteatus,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Fannia serena,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Fannia sp,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Helina sp,7.878E+01,1
plant,flower visitor,Anthriscus sylvestris,Hylemya vagans,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Microphor anomalus,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Miscogaster maculata,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Oscinella cariciphila,1.184E+02,1
plant,flower visitor,Anthriscus sylvestris,Phaenocarpa (ruficeps),3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Phaonia lasiophthalma,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Phasia pusilla,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Pimpla contemplator,3.939E+01,1
plant,flower visitor,Anthriscus sylvestris,Platycheirus albimanus,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Platycheirus nielseni,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Platypalpus sp,1.899E+01,1
plant,flower visitor,Anthriscus sylvestris,Psychodidae sp,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Psyllidae sp,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Pteromalidae,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Scathophaga stercoraria,2.933E+02,1
plant,flower visitor,Anthriscus sylvestris,Scatopsidae sp,1.969E+01,1
plant,flower visitor,Anthriscus sylvestris,Tenthredopsis nassata,1.969E+01,1
plant,flower visitor,Bellis perennis,Empis livida,1.479E+03,1
plant,flower visitor,Bellis perennis,Oscinella nitidissima,7.396E+02,1
plant,flower visitor,Bellis perennis,Pegoplata aestiva or Adia cinerella,7.396E+02,1
plant,flower visitor,Bellis perennis,Scathophaga stercoraria,8.875E+03,1
plant,flower visitor,Brassica napus,Empis livida,1.491E+02,1
plant,flower visitor,Brassica napus,Neoascia podagrica,4.971E+01,1
plant,flower visitor,Brassica napus,Syritta pipiens,4.971E+01,1
plant,flower visitor,Capsella bursa-pastoris,Empis livida,7.476E+02,1
plant,flower visitor,Capsella bursa-pastoris,Platycheirus albimanus,7.476E+02,1
plant,flower visitor,Capsella bursa-pastoris,Syritta pipiens,7.476E+02,1
plant,flower visitor,Cerastium fontanum,Empis livida,7.461E+02,1
plant,flower visitor,Cerastium fontanum,Neomyia cornicina,6.532E+00,1
plant,flower visitor,Cerastium fontanum,Platycheirus albimanus,4.592E+01,1
plant,flower visitor,Cerastium fontanum,Tetrastichinae sp,4.762E+02,1
plant,flower visitor,Cerastium fontanum,Torymus sp,6.532E+00,1
plant,flower visitor,Chaerophyllum temulum,Anaspis pulicaria,3.939E+01,1
plant,flower visitor,Cirsium arvense,Anapausis soluta,4.971E+01,1
plant,flower visitor,Cirsium arvense,Anthomyza gracilis,4.971E+01,1
plant,flower visitor,Cirsium arvense,Apis mellifera,2.400E+03,1
plant,flower visitor,Cirsium arvense,Bombus lapidarius,2.185E+02,1
plant,flower visitor,Cirsium arvense,Bombus pascuorum,2.185E+02,1
plant,flower visitor,Cirsium arvense,Bombus terrestris,4.971E+01,1
plant,flower visitor,Cirsium arvense,Botanophila striolata,1.969E+01,1
plant,flower visitor,Cirsium arvense,Bracon sp,1.473E+03,1
plant,flower visitor,Cirsium arvense,Cheilosia honesta,4.971E+01,1
plant,flower visitor,Cirsium arvense,Chrysopilus asiliformis,8.709E+00,1
plant,flower visitor,Cirsium arvense,Delia sp,4.971E+01,1
plant,flower visitor,Cirsium arvense,Dilophus febrilis,2.044E+02,1
plant,flower visitor,Cirsium arvense,Empis livida,7.871E+02,1
plant,flower visitor,Cirsium arvense,Episyrphus balteatus,4.971E+01,1
plant,flower visitor,Cirsium arvense,Eriothrix rufomaculata,4.971E+01,1
